kind,preset_a,preset_b,csd
within_preset,edu-flat-v2,edu-flat-v2,0.5938
within_preset,edu-flat-v2,edu-flat-v2,0.6631
within_preset,edu-flat-v2,edu-flat-v2,0.7024
within_preset,edu-flat-v2,edu-flat-v2,0.6187
within_preset,edu-flat-v2,edu-flat-v2,0.7206
within_preset,edu-flat-v2,edu-flat-v2,0.6314
within_preset,edu-flat-v2,edu-flat-v2,0.6623
within_preset,edu-flat-v2,edu-flat-v2,0.5542
within_preset,edu-flat-v2,edu-flat-v2,0.6224
within_preset,edu-flat-v2,edu-flat-v2,0.7198
within_preset,edu-flat-v2,edu-flat-v2,0.6544
within_preset,edu-flat-v2,edu-flat-v2,0.742
within_preset,edu-flat-v2,edu-flat-v2,0.6084
within_preset,edu-flat-v2,edu-flat-v2,0.6961
within_preset,edu-flat-v2,edu-flat-v2,0.6631
within_preset,edu-flat-v2,edu-flat-v2,0.5079
within_preset,edu-flat-v2,edu-flat-v2,0.6596
within_preset,edu-flat-v2,edu-flat-v2,0.5053
within_preset,edu-flat-v2,edu-flat-v2,0.6034
within_preset,edu-flat-v2,edu-flat-v2,0.7171
within_preset,edu-flat-v2,edu-flat-v2,0.4871
within_preset,edu-flat-v2,edu-flat-v2,0.5885
within_preset,edu-flat-v2,edu-flat-v2,0.507
within_preset,edu-flat-v2,edu-flat-v2,0.5861
within_preset,edu-flat-v2,edu-flat-v2,0.5607
within_preset,edu-flat-v2,edu-flat-v2,0.7606
within_preset,edu-flat-v2,edu-flat-v2,0.5929
within_preset,edu-flat-v2,edu-flat-v2,0.5448
within_preset,edu-flat-v2,edu-flat-v2,0.6962
within_preset,edu-flat-v2,edu-flat-v2,0.5848
within_preset,edu-flat-v2,edu-flat-v2,0.6255
within_preset,edu-flat-v2,edu-flat-v2,0.6497
within_preset,edu-flat-v2,edu-flat-v2,0.5557
within_preset,edu-flat-v2,edu-flat-v2,0.6202
within_preset,edu-flat-v2,edu-flat-v2,0.5502
within_preset,edu-flat-v2,edu-flat-v2,0.7314
within_preset,edu-flat-v2,edu-flat-v2,0.6791
within_preset,edu-flat-v2,edu-flat-v2,0.554
within_preset,edu-flat-v2,edu-flat-v2,0.5958
within_preset,edu-flat-v2,edu-flat-v2,0.5016
within_preset,edu-flat-v2,edu-flat-v2,0.6002
within_preset,edu-flat-v2,edu-flat-v2,0.5531
within_preset,edu-flat-v2,edu-flat-v2,0.6045
within_preset,edu-flat-v2,edu-flat-v2,0.6022
within_preset,edu-flat-v2,edu-flat-v2,0.5647
within_preset,edu-flat-v2,edu-flat-v2,0.6436
within_preset,edu-flat-v2,edu-flat-v2,0.5871
within_preset,edu-flat-v2,edu-flat-v2,0.6901
within_preset,edu-flat-v2,edu-flat-v2,0.5501
within_preset,edu-flat-v2,edu-flat-v2,0.6506
within_preset,edu-flat-v2,edu-flat-v2,0.5458
within_preset,edu-flat-v2,edu-flat-v2,0.6476
within_preset,edu-flat-v2,edu-flat-v2,0.6017
within_preset,edu-flat-v2,edu-flat-v2,0.4998
within_preset,edu-flat-v2,edu-flat-v2,0.5527
within_preset,edu-flat-v2,edu-flat-v2,0.5497
within_preset,edu-flat-v2,edu-flat-v2,0.6386
within_preset,edu-flat-v2,edu-flat-v2,0.594
within_preset,edu-flat-v2,edu-flat-v2,0.5213
within_preset,edu-flat-v2,edu-flat-v2,0.5594
within_preset,edu-flat-v2,edu-flat-v2,0.5783
within_preset,edu-flat-v2,edu-flat-v2,0.6498
within_preset,edu-flat-v2,edu-flat-v2,0.4668
within_preset,edu-flat-v2,edu-flat-v2,0.6181
within_preset,edu-flat-v2,edu-flat-v2,0.8383
within_preset,edu-flat-v2,edu-flat-v2,0.5481
within_preset,edu-flat-v2,edu-flat-v2,0.6367
within_preset,edu-flat-v2,edu-flat-v2,0.5976
within_preset,edu-flat-v2,edu-flat-v2,0.6444
within_preset,edu-flat-v2,edu-flat-v2,0.673
within_preset,edu-flat-v2,edu-flat-v2,0.5205
within_preset,edu-flat-v2,edu-flat-v2,0.6579
within_preset,edu-flat-v2,edu-flat-v2,0.5454
within_preset,edu-flat-v2,edu-flat-v2,0.6557
within_preset,edu-flat-v2,edu-flat-v2,0.6535
within_preset,edu-flat-v2,edu-flat-v2,0.5643
within_preset,edu-flat-v2,edu-flat-v2,0.6151
within_preset,edu-flat-v2,edu-flat-v2,0.5193
within_preset,edu-flat-v2,edu-flat-v2,0.6924
within_preset,edu-flat-v2,edu-flat-v2,0.6275
within_preset,edu-flat-v2,edu-flat-v2,0.6473
within_preset,edu-flat-v2,edu-flat-v2,0.6455
within_preset,edu-flat-v2,edu-flat-v2,0.6819
