run,model,item_id,vqascore,custom_cv,csd,csd_provisional,judge_pass_rate,judge_axes_applicable,judge_parse_errors,harmonic,missing_components
v231_lumina2,lumina2,bench_v1_001,0.8654,0.7974,,False,,,,0.83,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_002,0.9092,0.7688,,False,,,,0.8331,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_003,0.896,0.771,,False,,,,0.8288,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_004,0.749,0.7812,,False,,,,0.7648,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_005,0.9516,0.7163,,False,,,,0.8174,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_006,0.9208,0.7785,,False,1.0,attribute,,0.8901,csd
v231_lumina2,lumina2,bench_v1_007,0.8842,0.747,,False,,,,0.8098,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_008,0.9185,0.742,,False,,,,0.8209,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_009,0.8782,0.7641,,False,1.0,attribute,,0.8702,csd
v231_lumina2,lumina2,bench_v1_010,0.9136,0.7509,,False,,,,0.8243,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_011,0.8872,0.763,,False,1.0,spatial,,0.8727,csd
v231_lumina2,lumina2,bench_v1_012,0.8621,0.7316,,False,1.0,"attribute,counting",,0.8506,csd
v231_lumina2,lumina2,bench_v1_013,0.896,0.7288,,False,1.0,"attribute,spatial",,0.86,csd
v231_lumina2,lumina2,bench_v1_014,0.8842,0.815,,False,,,,0.8482,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_015,0.9114,0.7816,,False,,,,0.8415,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_016,0.8545,0.8044,,False,,,,0.8287,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_017,0.8842,0.8173,,False,,,,0.8494,"csd,judge_pass_rate"
v231_lumina2,lumina2,bench_v1_018,0.8816,0.7277,,False,1.0,"counting,spatial",,0.8551,csd
v231_lumina2,lumina2,bench_v1_019,0.9065,0.7483,,False,1.0,attribute,,0.8722,csd
v231_lumina2,lumina2,bench_v1_020,0.8114,0.767,,False,1.0,spatial,,0.8484,csd
v231_lumina2,lumina2,bench_v1_021,0.8688,0.7577,,False,1.0,"counting,spatial",,0.8644,csd
