image,type,source,csd_target
v257_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.4017
v257_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.525
v257_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.4017
v257_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.5135
v257_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.5127
v257_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.6757
v257_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.3648
v257_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.0721
v257_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.3867
v257_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.1343
v257_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.1401
v257_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.1299
v257_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.3913
v257_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.134
v257_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.5048
v257_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.1651
v257_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.1717
v257_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.7949
v257_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.7221
v257_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.5873
v257_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.8669
v257_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.636
v257_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.6882
v257_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.1878
v258_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.4175
v258_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.4948
v258_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.4175
v258_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.4803
v258_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.1008
v258_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.676
v258_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.4137
v258_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.3612
v258_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.3988
v258_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.1382
v258_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.1326
v258_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.1309
v258_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.4247
v258_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.1336
v258_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.482
v258_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.4822
v258_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.1729
v258_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.8293
v258_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.7347
v258_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.8349
v258_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.8691
v258_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.6201
v258_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.1835
