run,model,item_id,image,vqascore,custom_cv
v257_ideogram-4-lecture24,ideogram-4,,v257_00_structured_worksheet_template_claude.png,0.6846,0.7833
v257_ideogram-4-lecture24,ideogram-4,,v257_01_structured_worksheet_template_chatgpt.png,0.6954,0.7949
v257_ideogram-4-lecture24,ideogram-4,,v257_02_structured_worksheet_template_qwen.png,0.6846,0.7833
v257_ideogram-4-lecture24,ideogram-4,,v257_03_data_visualization_chart_claude.png,0.8114,0.7905
v257_ideogram-4-lecture24,ideogram-4,,v257_04_data_visualization_chart_chatgpt.png,0.8067,0.7346
v257_ideogram-4-lecture24,ideogram-4,,v257_05_data_visualization_chart_qwen.png,0.8782,0.7148
v257_ideogram-4-lecture24,ideogram-4,,v257_06_historical_figure_portrait_claude.png,0.9563,0.776
v257_ideogram-4-lecture24,ideogram-4,,v257_07_historical_figure_portrait_chatgpt.png,0.6727,0.819
v257_ideogram-4-lecture24,ideogram-4,,v257_08_historical_figure_portrait_qwen.png,0.9114,0.736
v257_ideogram-4-lecture24,ideogram-4,,v257_09_multi_character_classroom_collaboration_claude.png,0.8437,0.8219
v257_ideogram-4-lecture24,ideogram-4,,v257_10_multi_character_classroom_collaboration_chatgpt.png,0.7652,0.8198
v257_ideogram-4-lecture24,ideogram-4,,v257_11_multi_character_classroom_collaboration_qwen.png,0.8688,0.82
v257_ideogram-4-lecture24,ideogram-4,,v257_12_intergenerational_indoor_scene_claude.png,0.9496,0.6586
v257_ideogram-4-lecture24,ideogram-4,,v257_13_intergenerational_indoor_scene_chatgpt.png,0.7934,0.8196
v257_ideogram-4-lecture24,ideogram-4,,v257_14_intergenerational_indoor_scene_qwen.png,0.9298,0.6551
v257_ideogram-4-lecture24,ideogram-4,,v257_15_single_character_cutout_claude.png,0.8363,0.8204
v257_ideogram-4-lecture24,ideogram-4,,v257_16_single_character_cutout_chatgpt.png,0.7119,0.8198
v257_ideogram-4-lecture24,ideogram-4,,v257_17_single_character_cutout_qwen.png,0.9523,0.7435
v257_ideogram-4-lecture24,ideogram-4,,v257_18_labeled_science_diagram_claude.png,0.8106,0.7745
v257_ideogram-4-lecture24,ideogram-4,,v257_19_labeled_science_diagram_chatgpt.png,0.7288,0.7588
v257_ideogram-4-lecture24,ideogram-4,,v257_20_labeled_science_diagram_qwen.png,0.9321,0.7578
v257_ideogram-4-lecture24,ideogram-4,,v257_21_geometric_shape_set_claude.png,0.9544,0.7863
v257_ideogram-4-lecture24,ideogram-4,,v257_22_geometric_shape_set_chatgpt.png,0.8067,0.7562
v257_ideogram-4-lecture24,ideogram-4,,v257_23_geometric_shape_set_qwen.png,0.7934,0.8196
v258_ideogram-4-lecture24,ideogram-4,,v258_00_structured_worksheet_template_claude.png,0.9226,0.7888
v258_ideogram-4-lecture24,ideogram-4,,v258_01_structured_worksheet_template_chatgpt.png,0.749,0.7768
v258_ideogram-4-lecture24,ideogram-4,,v258_02_structured_worksheet_template_qwen.png,0.9226,0.7888
v258_ideogram-4-lecture24,ideogram-4,,v258_03_data_visualization_chart_claude.png,0.8748,0.7711
v258_ideogram-4-lecture24,ideogram-4,,v258_04_data_visualization_chart_chatgpt.png,0.7388,0.8199
v258_ideogram-4-lecture24,ideogram-4,,v258_05_data_visualization_chart_qwen.png,0.9087,0.7332
v258_ideogram-4-lecture24,ideogram-4,,v258_06_historical_figure_portrait_claude.png,0.9575,0.7607
v258_ideogram-4-lecture24,ideogram-4,,v258_07_historical_figure_portrait_chatgpt.png,0.7934,0.7147
v258_ideogram-4-lecture24,ideogram-4,,v258_08_historical_figure_portrait_qwen.png,0.9163,0.7538
v258_ideogram-4-lecture24,ideogram-4,,v258_09_multi_character_classroom_collaboration_claude.png,0.8872,0.8202
v258_ideogram-4-lecture24,ideogram-4,,v258_10_multi_character_classroom_collaboration_chatgpt.png,0.8748,0.8213
v258_ideogram-4-lecture24,ideogram-4,,v258_11_multi_character_classroom_collaboration_qwen.png,0.8816,0.8211
v258_ideogram-4-lecture24,ideogram-4,,v258_12_intergenerational_indoor_scene_claude.png,0.9376,0.6616
v258_ideogram-4-lecture24,ideogram-4,,v258_13_intergenerational_indoor_scene_chatgpt.png,0.8587,0.8211
v258_ideogram-4-lecture24,ideogram-4,,v258_14_intergenerational_indoor_scene_qwen.png,0.9617,0.6522
v258_ideogram-4-lecture24,ideogram-4,,v258_15_single_character_cutout_claude.png,0.9426,0.7188
v258_ideogram-4-lecture24,ideogram-4,,v258_16_single_character_cutout_chatgpt.png,0.6846,0.8198
v258_ideogram-4-lecture24,ideogram-4,,v258_17_single_character_cutout_qwen.png,0.9136,0.7601
v258_ideogram-4-lecture24,ideogram-4,,v258_18_labeled_science_diagram_claude.png,0.9087,0.7751
v258_ideogram-4-lecture24,ideogram-4,,v258_19_labeled_science_diagram_chatgpt.png,0.9194,0.7208
v258_ideogram-4-lecture24,ideogram-4,,v258_20_labeled_science_diagram_qwen.png,0.9707,0.7278
v258_ideogram-4-lecture24,ideogram-4,,v258_21_geometric_shape_set_claude.png,0.9589,0.7871
v258_ideogram-4-lecture24,ideogram-4,,v258_22_geometric_shape_set_chatgpt.png,0.5249,0.8217
v258_ideogram-4-lecture24,ideogram-4,,v258_23_geometric_shape_set_qwen.png,0.868,0.821
v259_ideogram-4-lecture24,ideogram-4,,v259_00_structured_worksheet_template_claude.png,0.6137,0.739
v259_ideogram-4-lecture24,ideogram-4,,v259_01_structured_worksheet_template_chatgpt.png,0.8282,0.8181
v259_ideogram-4-lecture24,ideogram-4,,v259_02_structured_worksheet_template_qwen.png,0.6137,0.739
