run,model,item_id,image,vqascore,custom_cv
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_00_structured_worksheet_template_claude.png,0.8816,0.8179
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_01_structured_worksheet_template_chatgpt.png,0.9065,0.7312
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_02_structured_worksheet_template_qwen.png,0.8816,0.8179
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_03_data_visualization_chart_claude.png,0.896,0.7575
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_04_data_visualization_chart_chatgpt.png,0.678,0.7228
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_05_data_visualization_chart_qwen.png,0.9127,0.7238
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_06_historical_figure_portrait_claude.png,0.8782,0.7497
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_07_historical_figure_portrait_chatgpt.png,0.8067,0.7666
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_08_historical_figure_portrait_qwen.png,0.847,0.7474
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_09_multi_character_classroom_collaboration_claude.png,0.9442,0.7007
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_10_multi_character_classroom_collaboration_chatgpt.png,0.9424,0.6828
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_11_multi_character_classroom_collaboration_qwen.png,0.9136,0.6896
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_12_intergenerational_indoor_scene_claude.png,0.9141,0.7218
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_13_intergenerational_indoor_scene_chatgpt.png,0.9039,0.7328
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_14_intergenerational_indoor_scene_qwen.png,0.9136,0.7208
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_15_single_character_cutout_claude.png,0.9226,0.7728
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_16_single_character_cutout_chatgpt.png,0.8842,0.7254
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_17_single_character_cutout_qwen.png,0.9185,0.7666
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_18_labeled_science_diagram_claude.png,0.8396,0.7556
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_19_labeled_science_diagram_chatgpt.png,0.8323,0.7405
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_20_labeled_science_diagram_qwen.png,0.9673,0.7536
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_21_geometric_shape_set_claude.png,0.9426,0.8252
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_22_geometric_shape_set_chatgpt.png,0.9087,0.8216
v261_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v261_23_geometric_shape_set_qwen.png,0.847,0.7479
v262_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v262_00_structured_worksheet_template_claude.png,0.8688,0.7818
v262_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v262_01_structured_worksheet_template_chatgpt.png,0.847,0.7613
v262_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v262_02_structured_worksheet_template_qwen.png,0.8688,0.7818
v262_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v262_03_data_visualization_chart_claude.png,0.8748,0.7737
v262_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v262_04_data_visualization_chart_chatgpt.png,0.6954,0.7239
v262_flux2-klein-4b-nf4-lecture24,flux2-klein-4b-nf4,,v262_05_data_visualization_chart_qwen.png,0.9217,0.7265
