image,prompt_id,item_id,type,verdict
v246_17_single_character_cutout_qwen.png,single_character_cutout_qwen,s1,count,yes
v247_15_single_character_cutout_claude.png,single_character_cutout_claude,s1,count,yes
v247_15_single_character_cutout_claude.png,single_character_cutout_claude,s8,style,yes
v249_13_intergenerational_indoor_scene_chatgpt.png,intergenerational_indoor_scene_chatgpt,s1,count,yes
v246_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s3,count,no
v246_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s5,text,no
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s1,count,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s5,spatial,yes
v247_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s2,spatial,yes
v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,no
v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s3,count,yes
v249_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s10,text,yes
v246_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s6,count,no
v246_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s5,spatial,yes
v246_18_labeled_science_diagram_claude.png,labeled_science_diagram_claude,s7,style,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s1,count,no
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s7,attribute,yes
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s4,attribute,no
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s5,text,no
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s6,text,no
v247_05_data_visualization_chart_qwen.png,data_visualization_chart_qwen,s2,text,no
v249_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s1,count,yes
v249_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s4,spatial,yes
v249_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s5,style,yes
v246_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s1,count,yes
v246_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s7,style,yes
v247_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s1,count,yes
v247_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s10,text,yes
v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s1,count,yes
v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s7,attribute,yes
v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s9,text,yes
v249_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s8,style,no
v246_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s3,count,yes
v246_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s2,spatial,no
v247_13_intergenerational_indoor_scene_chatgpt.png,intergenerational_indoor_scene_chatgpt,s1,count,yes
v247_13_intergenerational_indoor_scene_chatgpt.png,intergenerational_indoor_scene_chatgpt,s6,attribute,yes
v247_13_intergenerational_indoor_scene_chatgpt.png,intergenerational_indoor_scene_chatgpt,s8,style,yes
v249_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s3,count,yes
v246_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s1,count,no
v246_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s5,text,no
v246_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s6,text,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s1,count,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s4,attribute,no
v247_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s7,spatial,yes
v249_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s3,count,yes
v249_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s5,text,yes
v249_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s4,text,yes
v246_10_multi_character_classroom_collaboration_chatgpt.png,multi_character_classroom_collaboration_chatgpt,s1,count,yes
v247_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s1,count,yes
v249_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s1,count,yes
v249_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s5,text,no
v249_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s7,style,yes
v246_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s1,count,yes
v246_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s8,style,yes
v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s1,count,yes
v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s6,attribute,yes
v247_09_multi_character_classroom_collaboration_claude.png,multi_character_classroom_collaboration_claude,s9,text,yes
v246_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s1,count,yes
v246_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s2,spatial,yes
v246_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s9,style,yes
v246_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s6,attribute,yes
v246_11_multi_character_classroom_collaboration_qwen.png,multi_character_classroom_collaboration_qwen,s5,text,no
v246_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s4,attribute,no
v246_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s7,attribute,yes
v246_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s6,spatial,no
v246_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s8,style,yes
v247_17_single_character_cutout_qwen.png,single_character_cutout_qwen,s4,attribute,no
v247_17_single_character_cutout_qwen.png,single_character_cutout_qwen,s7,style,yes
v249_17_single_character_cutout_qwen.png,single_character_cutout_qwen,s4,attribute,yes
v249_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s5,attribute,yes
v249_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s7,attribute,yes
v246_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s6,attribute,no
v246_14_intergenerational_indoor_scene_qwen.png,intergenerational_indoor_scene_qwen,s4,spatial,no
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s4,attribute,no
v247_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s7,style,yes
v249_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s3,attribute,yes
v249_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s5,spatial,yes
v249_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s6,spatial,yes
v249_07_historical_figure_portrait_chatgpt.png,historical_figure_portrait_chatgpt,s7,style,yes
v246_15_single_character_cutout_claude.png,single_character_cutout_claude,s5,attribute,yes
v246_15_single_character_cutout_claude.png,single_character_cutout_claude,s8,style,yes
v249_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s6,attribute,yes
v249_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s8,spatial,yes
v249_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s7,spatial,yes
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s5,attribute,no
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s6,attribute,no
v246_03_data_visualization_chart_claude.png,data_visualization_chart_claude,s9,text,no
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s7,attribute,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s5,spatial,yes
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s6,spatial,no
v247_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s10,style,yes
v249_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s9,attribute,yes
v249_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s5,spatial,yes
v246_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s1,attribute,no
v246_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s5,text,no
v246_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s7,style,no
v249_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s4,attribute,yes
v249_00_structured_worksheet_template_claude.png,structured_worksheet_template_claude,s6,spatial,no
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s4,attribute,no
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s2,spatial,no
v246_01_structured_worksheet_template_chatgpt.png,structured_worksheet_template_chatgpt,s9,spatial,no
v246_08_historical_figure_portrait_qwen.png,historical_figure_portrait_qwen,s4,spatial,yes
v247_02_structured_worksheet_template_qwen.png,structured_worksheet_template_qwen,s5,spatial,yes
v246_12_intergenerational_indoor_scene_claude.png,intergenerational_indoor_scene_claude,s8,spatial,no
v249_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s2,spatial,yes
v249_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s3,text,yes
v249_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s5,style,yes
v247_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s2,spatial,yes
v247_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s6,spatial,yes
v246_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s3,text,no
v249_15_single_character_cutout_claude.png,single_character_cutout_claude,s9,text,yes
v246_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s6,text,no
v246_20_labeled_science_diagram_qwen.png,labeled_science_diagram_qwen,s4,text,no
v247_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s5,text,yes
v249_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s4,text,no
v249_19_labeled_science_diagram_chatgpt.png,labeled_science_diagram_chatgpt,s6,style,yes
v247_04_data_visualization_chart_chatgpt.png,data_visualization_chart_chatgpt,s6,text,yes
v247_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s5,text,no
v247_23_geometric_shape_set_qwen.png,geometric_shape_set_qwen,s7,style,no
v246_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s7,style,no
v247_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s5,style,yes
v247_22_geometric_shape_set_chatgpt.png,geometric_shape_set_chatgpt,s6,style,yes
v249_21_geometric_shape_set_claude.png,geometric_shape_set_claude,s7,style,no
v246_16_single_character_cutout_chatgpt.png,single_character_cutout_chatgpt,s4,style,yes
v249_06_historical_figure_portrait_claude.png,historical_figure_portrait_claude,s9,style,yes
