image,type,source,csd_golden
v243_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.3947
v243_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.3816
v243_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.3947
v243_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.3059
v243_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.4097
v243_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.3957
v243_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.4353
v243_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.4274
v243_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.2506
v243_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.5621
v243_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.6113
v243_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.5341
v243_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.5504
v243_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.5507
v243_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.5119
v243_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.4411
v243_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.4317
v243_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.4339
v243_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.4317
v243_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.4197
v243_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.3919
v243_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.5129
v243_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.3902
v243_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.4033
