image,type,source,csd_target
v243_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.378
v243_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.3317
v243_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.378
v243_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.3356
v243_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.4942
v243_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.5058
v243_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.3222
v243_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.3348
v243_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.4314
v243_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.5969
v243_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.6871
v243_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.6856
v243_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.7315
v243_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.6706
v243_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.7972
v243_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.7741
v243_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.5894
v243_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.7275
v243_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.5249
v243_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.4975
v243_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.52
v243_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.5253
v243_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.3976
v243_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.4655
