run,model,item_id,image,vqascore,custom_cv
v243_pixart-sigma-lecture24,pixart-sigma,,v243_00_structured_worksheet_template_claude.png,0.4267,0.7491
v243_pixart-sigma-lecture24,pixart-sigma,,v243_01_structured_worksheet_template_chatgpt.png,0.6431,0.6643
v243_pixart-sigma-lecture24,pixart-sigma,,v243_02_structured_worksheet_template_qwen.png,0.4267,0.7491
v243_pixart-sigma-lecture24,pixart-sigma,,v243_03_data_visualization_chart_claude.png,0.7888,0.779
v243_pixart-sigma-lecture24,pixart-sigma,,v243_04_data_visualization_chart_chatgpt.png,0.572,0.7087
v243_pixart-sigma-lecture24,pixart-sigma,,v243_05_data_visualization_chart_qwen.png,0.8654,0.7176
v243_pixart-sigma-lecture24,pixart-sigma,,v243_06_historical_figure_portrait_claude.png,0.9239,0.6666
v243_pixart-sigma-lecture24,pixart-sigma,,v243_07_historical_figure_portrait_chatgpt.png,0.7175,0.6956
v243_pixart-sigma-lecture24,pixart-sigma,,v243_08_historical_figure_portrait_qwen.png,0.9185,0.6739
v243_pixart-sigma-lecture24,pixart-sigma,,v243_09_multi_character_classroom_collaboration_claude.png,0.8872,0.689
v243_pixart-sigma-lecture24,pixart-sigma,,v243_10_multi_character_classroom_collaboration_chatgpt.png,0.7834,0.6722
v243_pixart-sigma-lecture24,pixart-sigma,,v243_11_multi_character_classroom_collaboration_qwen.png,0.8872,0.6935
v243_pixart-sigma-lecture24,pixart-sigma,,v243_12_intergenerational_indoor_scene_claude.png,0.923,0.6623
v243_pixart-sigma-lecture24,pixart-sigma,,v243_13_intergenerational_indoor_scene_chatgpt.png,0.7637,0.7049
v243_pixart-sigma-lecture24,pixart-sigma,,v243_14_intergenerational_indoor_scene_qwen.png,0.9289,0.7099
v243_pixart-sigma-lecture24,pixart-sigma,,v243_15_single_character_cutout_claude.png,0.9065,0.6891
v243_pixart-sigma-lecture24,pixart-sigma,,v243_16_single_character_cutout_chatgpt.png,0.749,0.7481
v243_pixart-sigma-lecture24,pixart-sigma,,v243_17_single_character_cutout_qwen.png,0.9755,0.6953
v243_pixart-sigma-lecture24,pixart-sigma,,v243_18_labeled_science_diagram_claude.png,0.7063,0.7312
v243_pixart-sigma-lecture24,pixart-sigma,,v243_19_labeled_science_diagram_chatgpt.png,0.5653,0.7139
v243_pixart-sigma-lecture24,pixart-sigma,,v243_20_labeled_science_diagram_qwen.png,0.9114,0.6969
v243_pixart-sigma-lecture24,pixart-sigma,,v243_21_geometric_shape_set_claude.png,0.9321,0.8003
v243_pixart-sigma-lecture24,pixart-sigma,,v243_22_geometric_shape_set_chatgpt.png,0.572,0.7301
v243_pixart-sigma-lecture24,pixart-sigma,,v243_23_geometric_shape_set_qwen.png,0.8282,0.7357
