image,type,source,csd_target
v250_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.5085
v250_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.5513
v250_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.5085
v250_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.5394
v250_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.5115
v250_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.7913
v250_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.3922
v250_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.2772
v250_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.3895
v250_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.4163
v250_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.8275
v250_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.7998
v250_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.6035
v250_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.7763
v250_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.7348
v250_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.6513
v250_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.6918
v250_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.7992
v250_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.6716
v250_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.6265
v250_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.7994
v250_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.6776
v250_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.7348
v250_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.8449
