image,type,source,csd_target
v255_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.5279
v255_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.6081
v255_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.5279
v255_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.5003
v255_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.7068
v255_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.7383
v255_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.3895
v255_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.3774
v255_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.4488
v255_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.4287
v255_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.7727
v255_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.8593
v255_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.6388
v255_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.8298
v255_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.5744
v255_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.5819
v255_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.7215
v255_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.8465
v255_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.6399
v255_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.6179
v255_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.788
v255_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.5213
v255_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.7615
v255_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.7594
