run,model,item_id,image,vqascore,custom_cv
v255_qwen-image-lecture24,qwen-image,,v255_00_structured_worksheet_template_claude.png,0.7841,0.82
v255_qwen-image-lecture24,qwen-image,,v255_01_structured_worksheet_template_chatgpt.png,0.8234,0.7923
v255_qwen-image-lecture24,qwen-image,,v255_02_structured_worksheet_template_qwen.png,0.7841,0.82
v255_qwen-image-lecture24,qwen-image,,v255_03_data_visualization_chart_claude.png,0.8396,0.7925
v255_qwen-image-lecture24,qwen-image,,v255_04_data_visualization_chart_chatgpt.png,0.9267,0.7697
v255_qwen-image-lecture24,qwen-image,,v255_05_data_visualization_chart_qwen.png,0.9163,0.752
v255_qwen-image-lecture24,qwen-image,,v255_06_historical_figure_portrait_claude.png,0.9271,0.8177
v255_qwen-image-lecture24,qwen-image,,v255_07_historical_figure_portrait_chatgpt.png,0.7934,0.8123
v255_qwen-image-lecture24,qwen-image,,v255_08_historical_figure_portrait_qwen.png,0.9087,0.7638
v255_qwen-image-lecture24,qwen-image,,v255_09_multi_character_classroom_collaboration_claude.png,0.9724,0.7127
v255_qwen-image-lecture24,qwen-image,,v255_10_multi_character_classroom_collaboration_chatgpt.png,0.8899,0.758
v255_qwen-image-lecture24,qwen-image,,v255_11_multi_character_classroom_collaboration_qwen.png,0.9226,0.7461
v255_qwen-image-lecture24,qwen-image,,v255_12_intergenerational_indoor_scene_claude.png,0.9577,0.7051
v255_qwen-image-lecture24,qwen-image,,v255_13_intergenerational_indoor_scene_chatgpt.png,0.7788,0.7685
v255_qwen-image-lecture24,qwen-image,,v255_14_intergenerational_indoor_scene_qwen.png,0.9544,0.7242
v255_qwen-image-lecture24,qwen-image,,v255_15_single_character_cutout_claude.png,0.9666,0.7
v255_qwen-image-lecture24,qwen-image,,v255_16_single_character_cutout_chatgpt.png,0.7119,0.815
v255_qwen-image-lecture24,qwen-image,,v255_17_single_character_cutout_qwen.png,0.9707,0.7948
v255_qwen-image-lecture24,qwen-image,,v255_18_labeled_science_diagram_claude.png,0.7697,0.7989
v255_qwen-image-lecture24,qwen-image,,v255_19_labeled_science_diagram_chatgpt.png,0.7888,0.7414
v255_qwen-image-lecture24,qwen-image,,v255_20_labeled_science_diagram_qwen.png,0.933,0.7957
v255_qwen-image-lecture24,qwen-image,,v255_21_geometric_shape_set_claude.png,0.9348,0.7479
v255_qwen-image-lecture24,qwen-image,,v255_22_geometric_shape_set_chatgpt.png,0.69,0.7945
v255_qwen-image-lecture24,qwen-image,,v255_23_geometric_shape_set_qwen.png,0.9367,0.7181
