run,model,item_id,image,vqascore,custom_cv
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_00_structured_worksheet_template_claude.png,0.7175,0.743
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_01_structured_worksheet_template_chatgpt.png,0.7841,0.8157
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_02_structured_worksheet_template_qwen.png,0.7175,0.743
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_03_data_visualization_chart_claude.png,0.8748,0.781
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_04_data_visualization_chart_chatgpt.png,0.8903,0.789
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_05_data_visualization_chart_qwen.png,0.9307,0.7694
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_06_historical_figure_portrait_claude.png,0.9442,0.7954
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_07_historical_figure_portrait_chatgpt.png,0.8234,0.8133
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_08_historical_figure_portrait_qwen.png,0.9248,0.8075
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_09_multi_character_classroom_collaboration_claude.png,0.9777,0.7054
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_10_multi_character_classroom_collaboration_chatgpt.png,0.8929,0.7932
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_11_multi_character_classroom_collaboration_qwen.png,0.9065,0.7969
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_12_intergenerational_indoor_scene_claude.png,0.9544,0.7035
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_13_intergenerational_indoor_scene_chatgpt.png,0.7637,0.7946
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_14_intergenerational_indoor_scene_qwen.png,0.9589,0.7597
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_15_single_character_cutout_claude.png,0.933,0.7419
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_16_single_character_cutout_chatgpt.png,0.7388,0.8137
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_17_single_character_cutout_qwen.png,0.9629,0.8079
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_18_labeled_science_diagram_claude.png,0.7446,0.7511
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_19_labeled_science_diagram_chatgpt.png,0.8545,0.7026
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_20_labeled_science_diagram_qwen.png,0.9629,0.7317
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_21_geometric_shape_set_claude.png,0.9479,0.7304
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_22_geometric_shape_set_chatgpt.png,0.9399,0.7142
v256_qwen-image-lightning-lecture24,qwen-image-lightning,,v256_23_geometric_shape_set_qwen.png,0.9358,0.6953
