model	condition	status	vram_gb	sec_per_img
sdxl	shared	OK	10.73	8.68
sdxl	dialect	OK	10.73	8.57
flux2-klein-4b	shared	OK	17.32	3.05
flux2-klein-4b	dialect	OK	17.32	3.03
sana-1600m	shared	OK	10.16	3.77
sana-1600m	dialect	OK	10.16	3.76
pixart-sigma	shared	OK	14.46	5.97
pixart-sigma	dialect	OK	14.46	6.0
sd35-medium	shared	OK	17.59	13.3
sd35-medium	dialect	OK	17.59	13.36
zimage-turbo	shared	OK	21.67	17.3
zimage-turbo	dialect	OK	21.67	17.6
lumina2	shared	OK	12.28	28.7
lumina2	dialect	OK	12.28	29.18
qwen-image	shared	OK	15.55	155.39
qwen-image	dialect	OK	15.56	170.62
ideogram-4	shared	OK	19.04	159.11
ideogram-4	dialect	OK	19.04	157.97
