model	exp	status	vram_gb	sec_per_img
flux2-klein-4b	-	SKIP_DISK	-	-
flux2-klein-4b-base	coloring-book	SKIP_DONE	-	-
flux2-klein-4b-base	flat-illust	SKIP_DONE	-	-
flux2-klein-4b-base	coloring-book-es	SKIP_DONE	-	-
flux2-klein-4b-base	flat-illust-es	SKIP_DONE	-	-
flux2-klein-4b-base	educational-flat	SKIP_DONE	-	-
flux2-klein-4b-base	educational-flat-es	SKIP_DONE	-	-
flux2-klein-4b-base	diagram-clean	SKIP_DONE	-	-
flux2-klein-4b-base	diagram-whiteboard	SKIP_DONE	-	-
flux2-klein-4b-base	formula-chalkboard	SKIP_DONE	-	-
flux2-klein-4b-base	formula-print	SKIP_DONE	-	-
flux2-klein-4b-base	history-flat	SKIP_DONE	-	-
flux2-klein-4b-base	history-storybook	SKIP_DONE	-	-
zimage-turbo	coloring-book	SKIP_DONE	-	-
zimage-turbo	flat-illust	SKIP_DONE	-	-
zimage-turbo	coloring-book-es	SKIP_DONE	-	-
zimage-turbo	flat-illust-es	SKIP_DONE	-	-
zimage-turbo	educational-flat	SKIP_DONE	-	-
zimage-turbo	educational-flat-es	SKIP_DONE	-	-
zimage-turbo	diagram-clean	SKIP_DONE	-	-
zimage-turbo	diagram-whiteboard	SKIP_DONE	-	-
zimage-turbo	formula-chalkboard	SKIP_DONE	-	-
zimage-turbo	formula-print	SKIP_DONE	-	-
zimage-turbo	history-flat	SKIP_DONE	-	-
zimage-turbo	history-storybook	SKIP_DONE	-	-
sdxl	coloring-book	SKIP_DONE	-	-
sdxl	flat-illust	SKIP_DONE	-	-
sdxl	coloring-book-es	SKIP_DONE	-	-
sdxl	flat-illust-es	SKIP_DONE	-	-
sdxl	educational-flat	SKIP_DONE	-	-
sdxl	educational-flat-es	SKIP_DONE	-	-
sdxl	diagram-clean	SKIP_DONE	-	-
sdxl	diagram-whiteboard	SKIP_DONE	-	-
sdxl	formula-chalkboard	SKIP_DONE	-	-
sdxl	formula-print	SKIP_DONE	-	-
sdxl	history-flat	SKIP_DONE	-	-
sdxl	history-storybook	SKIP_DONE	-	-
pixart-sigma	coloring-book	SKIP_DONE	-	-
pixart-sigma	flat-illust	SKIP_DONE	-	-
pixart-sigma	coloring-book-es	OK	14.46	6.27
pixart-sigma	flat-illust-es	OK	14.46	6.33
pixart-sigma	educational-flat	OK	14.46	6.34
pixart-sigma	educational-flat-es	OK	14.46	6.34
pixart-sigma	diagram-clean	OK	14.46	6.3
pixart-sigma	diagram-whiteboard	OK	14.46	6.34
pixart-sigma	formula-chalkboard	OK	14.46	6.69
pixart-sigma	formula-print	OK	14.46	6.29
pixart-sigma	history-flat	OK	14.46	6.36
pixart-sigma	history-storybook	OK	14.46	6.43
