category,model,n,vqascore_mean,custom_cv_mean,csd_target_mean,content_present_pass_rate,text_legibility_pass_rate,layout_structure_pass_rate,educational_fit_pass_rate
data_visualization_chart,flux2-klein-4b-nf4,3,0.847,0.7219,0.6141,,,,
geometric_shape_set,flux2-klein-4b-nf4,3,0.8439,0.7556,0.7524,,,,
historical_figure_portrait,flux2-klein-4b-nf4,3,0.8637,0.7495,0.353,,,,
intergenerational_indoor_scene,flux2-klein-4b-nf4,3,0.8746,0.7045,0.7049,,,,
labeled_science_diagram,flux2-klein-4b-nf4,3,0.7193,0.73,0.6992,,,,
multi_character_classroom_collaboration,flux2-klein-4b-nf4,3,0.9084,0.6749,0.6812,,,,
single_character_cutout,flux2-klein-4b-nf4,3,0.8751,0.7205,0.7141,,,,
structured_worksheet_template,flux2-klein-4b-nf4,3,0.7269,0.8111,0.5228,,,,
data_visualization_chart,pixart-sigma,3,0.7821,0.7218,0.4762,,,,
geometric_shape_set,pixart-sigma,3,0.795,0.7391,0.4442,,,,
historical_figure_portrait,pixart-sigma,3,0.8475,0.7056,0.3551,,,,
intergenerational_indoor_scene,pixart-sigma,3,0.8675,0.685,0.7287,,,,
labeled_science_diagram,pixart-sigma,3,0.6789,0.6812,0.5186,,,,
multi_character_classroom_collaboration,pixart-sigma,3,0.8796,0.6856,0.659,,,,
single_character_cutout,pixart-sigma,3,0.8687,0.7098,0.6884,,,,
structured_worksheet_template,pixart-sigma,3,0.4341,0.7431,0.3756,,,,
data_visualization_chart,qwen-image,3,0.8942,0.7714,0.6485,,,,
geometric_shape_set,qwen-image,3,0.8538,0.7535,0.6807,,,,
historical_figure_portrait,qwen-image,3,0.8764,0.7979,0.4052,,,,
intergenerational_indoor_scene,qwen-image,3,0.897,0.7326,0.681,,,,
labeled_science_diagram,qwen-image,3,0.8305,0.7787,0.6819,,,,
multi_character_classroom_collaboration,qwen-image,3,0.9283,0.7389,0.6869,,,,
single_character_cutout,qwen-image,3,0.8831,0.7699,0.7166,,,,
structured_worksheet_template,qwen-image,3,0.7972,0.8108,0.5546,,,,
